Provincia,Grupo etario,Habitantes con cobertura en 2010,Habitantes sin cobertura en 2010,Habitantes con cobertura en 2022,Habitantes sin cobertura en 2022
Buenos Aires,0-14,2230507.0,1643068.0,2183542.0,1645128.0
Buenos Aires,15-34,2850048.0,2145986.0,2832382.0,2418209.0
Buenos Aires,35-54,2423430.0,1255181.0,3068766.0,1533103.0
Buenos Aires,55-74,1889938.0,452068.0,2349377.0,490794.0
Buenos Aires,75+,709167.0,20078.0,863446.0,24159.0
Catamarca,0-14,59291.0,48085.0,51269.0,44166.0
Catamarca,15-34,63045.0,60119.0,61478.0,79985.0
Catamarca,35-54,53975.0,26008.0,71860.0,39351.0
Catamarca,55-74,36474.0,8328.0,53156.0,9868.0
Catamarca,75+,11561.0,814.0,15947.0,545.0
Chaco,0-14,102599.0,217824.0,102688.0,170119.0
Chaco,15-34,122826.0,240413.0,132961.0,246599.0
Chaco,35-54,109327.0,113854.0,147272.0,131086.0
Chaco,55-74,83587.0,35864.0,120215.0,37716.0
Chaco,75+,26471.0,2490.0,34216.0,1731.0
Chubut,0-14,97999.0,37633.0,93913.0,38566.0
Chubut,15-34,117714.0,57985.0,109379.0,71224.0
Chubut,35-54,90986.0,30075.0,123727.0,41396.0
Chubut,55-74,50733.0,11489.0,76356.0,12067.0
Chubut,75+,13867.0,1157.0,21997.0,829.0
Ciudad Autónoma de Buenos Aires,0-14,359438.0,112701.0,368291.0,91585.0
Ciudad Autónoma de Buenos Aires,15-34,678543.0,213498.0,670884.0,207783.0
Ciudad Autónoma de Buenos Aires,35-54,609196.0,129277.0,740852.0,142984.0
Ciudad Autónoma de Buenos Aires,55-74,497909.0,50418.0,558288.0,57841.0
Ciudad Autónoma de Buenos Aires,75+,237178.0,3923.0,252221.0,4725.0
Corrientes,0-14,133330.0,158348.0,151849.0,139733.0
Corrientes,15-34,142170.0,190901.0,169632.0,231873.0
Corrientes,35-54,117670.0,95910.0,169460.0,120537.0
Corrientes,55-74,90910.0,32704.0,145224.0,35112.0
Corrientes,75+,29390.0,1924.0,44107.0,2144.0
Córdoba,0-14,483415.0,320427.0,466540.0,340070.0
Córdoba,15-34,648815.0,424090.0,661912.0,519316.0
Córdoba,35-54,506935.0,250234.0,656594.0,337512.0
Córdoba,55-74,425683.0,85973.0,530660.0,101351.0
Córdoba,75+,156196.0,4917.0,193796.0,4313.0
Entre Ríos,0-14,184072.0,141253.0,179626.0,135079.0
Entre Ríos,15-34,219889.0,173766.0,222009.0,213294.0
Entre Ríos,35-54,189449.0,92886.0,244061.0,119523.0
Entre Ríos,55-74,150735.0,31662.0,197748.0,35180.0
Entre Ríos,75+,51641.0,1797.0,67341.0,1236.0
Formosa,0-14,55378.0,111921.0,51829.0,101096.0
Formosa,15-34,61601.0,114143.0,62283.0,137589.0
Formosa,35-54,58095.0,55298.0,70127.0,74206.0
Formosa,55-74,41812.0,18767.0,63969.0,23914.0
Formosa,75+,12018.0,1890.0,18927.0,1567.0
Jujuy,0-14,101434.0,94920.0,94779.0,94721.0
Jujuy,15-34,104957.0,128860.0,102637.0,156853.0
Jujuy,35-54,86172.0,59593.0,118759.0,93875.0
Jujuy,55-74,60400.0,19480.0,89634.0,26938.0
Jujuy,75+,16561.0,1973.0,29308.0,1860.0
La Pampa,0-14,48234.0,31040.0,46667.0,31185.0
La Pampa,15-34,58628.0,40142.0,59008.0,46598.0
La Pampa,35-54,52590.0,23003.0,66492.0,28555.0
